"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Курьеры","0","Создание курьера","7","0","","0"
"0","Заказы","0","Создание заказа","7","0","","0"
"0","Заказы","0","Список заказов","2","0","","0"
"0","","0","","4","0","","0"
